Channel id,Region SB Rank,SB Rating,Channel name,Uploads,Subs,Video Views,Nation,Category,User Created,SB rank,Subscriber Rank,Video Views Rank,Country Rank,Category Rank,Subscribers for the last 30 days,Video Views for the last 30 days,Lowest Estimated Monthly Earnings,Highest Estimated Monthly Earnings,Lowest Estimated Yearly Earnings,Highest Estimated Yearly Earnings,"2016 Unemployment, total (% of total labor force)",2024 Urban population,"2024 Population, total",2023 GDP per capita,2023 GDP per capita growth
UCuP1RpL6YOitjn41PeFBI4A,25,A-,change your life,3863,167000,155590675,AU,Sports,2017-07-15,4532,2222,123125,845,1176,92800.0,92995000.0,23200.0,372000.0,279000.0,4500000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCfaZw8XH_zmAVkBst_MPD6w,67,B+,CKN,492,18900000,12949482096,AU,Entertainment,2015-03-28,14136,281,461,5,165,,40300000.0,10100.0,161200.0,120900.0,1900000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UC3K664zuRUodaWXzHQJ2Vzg,76,B+,iyhaL & birDs,377,37200,35917454,AU,,2024-02-20,16065,4261,427471,547,1547,37200.0,35865000.0,9000.0,143500.0,107600.0,1700000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCXyC0YoKWV3D3Gcx3okp3fA,19,A-,Team UnOfficial Shorts,1904,3600000,1760988292,AU,,2020-02-14,2702,1022,9127,77,77,170000.0,114999000.0,28700.0,460000.0,345000.0,5500000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCwAY7nGTv_BApJYjdwi3VdA,51,B+,Jiny Maeng,583,1630000,792130292,AU,,2020-07-12,11245,1224,24276,173,173,80000.0,55045000.0,13800.0,220200.0,165100.0,2600000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UC5f5IV0Bf79YLp_p9nfInRA,8,A-,How Ridiculous,737,22900000,13740380279,AU,Sports,2009-09-09,1048,242,423,3,7,200000.0,214176000.0,53500.0,856700.0,642500.0,10300000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCLxHgD4_HhwDGpblUGSpVzw,53,B+,Gokumeme,76,14500,71101084,AU,People,2017-07-09,11565,11813,300449,885,4362,13700.0,67982000.0,17000.0,271900.0,203900.0,3300000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCtxbV_l2t708Y4tkGSn2IZg,20,A-,Bundun,529,1470000,1773079136,AU,Games,2011-09-20,2982,1241,9078,188,751,60000.0,108696000.0,27200.0,434800.0,326100.0,5200000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCj4hfQEWcGtF08SLEZCZc5Q,10,A-,Vindooly,809,5000000,3225553360,AU,Games,2009-11-11,1386,881,4118,52,407,260000.0,197556000.0,49400.0,790200.0,592700.0,9500000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCeTKJSW1NTAkf27nNmjWt5A,18,A-,Australian Open TV,13732,2520000,3267543125,AU,Sports,2007-12-05,2501,1128,4001,109,245,40000.0,124683000.0,31200.0,498700.0,374000.0,6000000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCPHWKNQUQCzlUXtErmJNdRQ,96,B+,FuN4Ticks,111,87500,73738377,AU,,2022-03-21,19840,2724,242323,63,1063,37100.0,29814000.0,7500.0,119300.0,89400.0,1400000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCV6mNrW8CrmWtcxWfQXy11g,65,B+,DarkViperAU,1764,1810000,1317728366,AU,Games,2012-10-31,13578,1204,13027,155,716,20000.0,35410000.0,8900.0,141600.0,106200.0,1700000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCAYeLUQj1BhFhbJzZqKROmg,75,B+,Cheesymembey,466,2870000,340954970,AU,Games,2020-11-13,16043,1095,58989,96,612,110000.0,37016000.0,9300.0,148100.0,111000.0,1800000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCBN_7mH7JV66YN22wyNY8RQ,60,B+,Ryan's Model Y,405,174000,159172204,AU,Autos,2021-06-23,13131,2222,123375,845,923,63000.0,41273000.0,10300.0,165100.0,123800.0,2000000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCZ2PNRqBa93_sABm0_jvaTw,93,B+,PhantomR,42,131000,43367865,AU,,2024-06-07,19529,2391,424640,903,903,60100.0,20904000.0,5200.0,83600.0,62700.0,1000000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UC7HiPCtTwr1hu7qNPrqOYtQ,88,B+,The Marshmallow Co.,373,1720000,994352697,AU,,2022-03-03,18903,1213,18381,164,164,30000.0,27593000.0,6900.0,110400.0,82800.0,1300000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UC5HfVz8n_2l0Th4iGgO8Ijg,40,B+,Viralform,96,46600,85781770,AU,,2022-03-20,8444,4147,259677,528,1528,41100.0,79209000.0,19800.0,316800.0,237600.0,3800000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCqNkn5PNeSqbQTAR5RP_L_Q,26,A-,Andy Cooks,1026,5280000,2739237792,AU,,2008-07-28,4562,849,5155,49,49,130000.0,101078000.0,25300.0,404300.0,303200.0,4900000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCz2BENAszzKr_m7AfS8fB1w,9,A-,Baby Swim,312,1230000,760999134,AU,Sports,2007-02-08,1235,1273,26144,213,376,335000.0,237394000.0,59300.0,949600.0,712200.0,11400000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCr3o3NPcZdz3XEWqlPz7Sqg,68,B+,The Blackman Family,3232,616000,413201896,AU,People,2020-04-04,14153,1704,48407,440,1268,35000.0,36501000.0,9100.0,146000.0,109500.0,1800000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UC_WCouYqsCDnQTW3C5MzyiA,64,B+,Lah-Lah,173,1000000,773435328,AU,Music,2009-08-19,13452,1292,24373,229,901,34000.0,33516000.0,8400.0,134100.0,100500.0,1600000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
UCTFAop2kYouNBtNrxnT7_gw,80,B+,Mr. brainy,97,176000,80618185,AU,,2023-10-30,16904,2217,224698,841,841,48000.0,27931000.0,7000.0,111700.0,83800.0,1300000.0,5.71999979019165,23326317,26889126,61340.71048480177,0.6032849357129493
